H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      900 dzeit  6.07E-08 agej  2.3835E-05
 # t9 =    1.835E-01 rho =    1.741E+01
 # densn  2.65482E+06
 # densp  1.09577E+24
 # densa  8.21030E+23
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
    1     0.   1.   1   2.53270E-19  NEUT 
    2     1.   1.   1   1.04536E-01  PROT 
    3     1.   2.   1   2.05433E-19  H   2
    4     2.   3.   1   4.17534E-15  HE  3
    5     2.   4.   1   3.13305E-01  HE  4
    6     4.   7.   1   2.43508E-06  BE  7
    7     5.   8.   1   2.95817E-11  B   8
    8     3.   7.   1   2.55935E-17  LI  7
    9     6.  11.   1   1.00000E-99  C  11
   10     5.  11.   1   2.04319E-17  B  11
   11     6.  12.   1   1.60987E-02  C  12
   12     6.  13.   1   5.65534E-03  C  13
   13     7.  13.   1   1.43889E-01  N  13
   14     7.  14.   1   2.61417E-02  N  14
   15     6.  14.   1   6.13996E-12  C  14
   16     7.  15.   1   2.32520E-06  N  15
   17     8.  16.   1   1.29395E-04  O  16
   18     8.  17.   1   1.23610E-04  O  17
   19     8.  18.   1   1.03844E-12  O  18
   20     9.  17.   1   1.44712E-05  F  17
   21     9.  18.   1   7.89745E-07  F  18
   22     9.  19.   1   2.42781E-10  F  19
   23    10.  20.   1   2.00049E-02  NE 20
   24    10.  21.   1   7.18476E-07  NE 21
   25    10.  22.   1   3.03503E-11  NE 22
   26    11.  22.   1   5.94345E-06  NA 22
   27    11.  23.   1   9.00804E-06  NA 23
   28    12.  23.   1   1.69392E-06  MG 23
   29    12.  24.   1   6.02691E-07  MG 24
   30    12.  25.   1   5.62764E-05  MG 25
   31    12.  26.   1   6.31435E-06  MG 26
   32    13.  26.   1   2.07511E-05  AL 26
   33    13.  27.   1   3.77818E-04  AL 27
   34    14.  27.   1   2.02237E-07  SI 27
   35    14.  28.   1   2.44249E-02  SI 28
   36    14.  29.   1   3.79683E-04  SI 29
   37    14.  30.   1   4.53892E-02  SI 30
   38    15.  31.   1   1.06472E-03  P  31
   39    16.  31.   1   2.82966E-19  S  31
   46     4.   8.   1   1.00000E-99  BE  8
   47     8.  14.   1   9.40511E-04  O  14
   48     8.  15.   1   2.98489E-02  O  15
   49    11.  21.   1   2.17888E-06  NA 21
   50    13.  25.   1   3.59887E-07  AL 25
   51    15.  29.   1   1.25341E-07  P  29
   52    15.  30.   1   2.85370E-03  P  30
   58     9.  20.   1   6.74681E-22  F  20
   59    10.  17.   1   1.00000E-99  NE 17
   60    10.  18.   1   1.60689E-10  NE 18
   61    10.  19.   1   1.62996E-09  NE 19
   62    10.  23.   1   9.69018E-24  NE 23
   63    10.  24.   1   1.00000E-99  NE 24
   64    11.  20.   1   2.54205E-17  NA 20
   65    11.  24.   1   5.68232E-16  NA 24
   66    12.  21.   1   7.07273E-21  MG 21
   67    12.  22.   1   1.46953E-07  MG 22
   68    12.  27.   1   5.72223E-17  MG 27
   69    12.  28.   1   1.00000E-99  MG 28
   70    13.  23.   1   1.45215E-16  AL 23
   71    13.  24.   1   2.35089E-13  AL 24
   72    13.  28.   1   1.82828E-13  AL 28
   73    13.  29.   1   3.21062E-22  AL 29
   74    13.  30.   1   1.00000E-99  AL 30
   75    13.  31.   1   1.00000E-99  AL 31
   76    14.  25.   1   2.89020E-19  SI 25
   77    14.  26.   1   3.44264E-08  SI 26
   78    14.  31.   1   3.60225E-11  SI 31
   79    14.  32.   1   1.92521E-20  SI 32
   80    14.  33.   1   1.00000E-99  SI 33
   81    15.  27.   1   1.10885E-13  P  27
   82    15.  28.   1   1.15534E-12  P  28
   83    15.  32.   1   8.30513E-13  P  32
   84    15.  33.   1   2.07442E-12  P  33
   85    15.  34.   1   8.31295E-23  P  34
   86    15.  35.   1   1.00000E-99  P  35
   87    15.  36.   1   1.00000E-99  P  36
   88    15.  37.   1   1.00000E-99  P  37
   89    15.  38.   1   1.00000E-99  P  38
   90    16.  28.   1   1.61680E-24  S  28
   91    16.  29.   1   1.00000E-99  S  29
   92    16.  30.   1   6.46993E-14  S  30
   93    16.  32.   1   1.75833E-01  S  32
   94    16.  33.   1   1.21025E-02  S  33
   95    16.  34.   1   8.27932E-03  S  34
   96    16.  35.   1   1.52281E-11  S  35
   97    16.  36.   1   2.66553E-18  S  36
   98    16.  37.   1   1.00000E-99  S  37
   99    16.  38.   1   1.00000E-99  S  38
  100    16.  39.   1   1.00000E-99  S  39
  101    16.  40.   1   1.00000E-99  S  40
  102    17.  31.   1   2.12680E-20  CL 31
  103    17.  32.   1   1.38763E-27  CL 32
  104    17.  33.   1   5.42337E-10  CL 33
  105    17.  34.   1   1.19097E-07  CL 34
  106    17.  35.   1   1.84048E-02  CL 35
  107    17.  36.   1   1.05580E-10  CL 36
  108    17.  37.   1   1.13484E-08  CL 37
  109    17.  38.   1   6.85564E-18  CL 38
  110    17.  39.   1   1.00000E-99  CL 39
  111    17.  40.   1   1.00000E-99  CL 40
  112    17.  41.   1   1.00000E-99  CL 41
  113    17.  42.   1   1.00000E-99  CL 42
  114    17.  43.   1   1.00000E-99  CL 43
  115    17.  44.   1   1.00000E-99  CL 44
  116    18.  32.   1   1.00000E-99  AR 32
  117    18.  33.   1   1.00000E-99  AR 33
  118    18.  34.   1   1.00000E-99  AR 34
  119    18.  35.   1   1.00000E-99  AR 35
  120    18.  36.   1   3.51500E-03  AR 36
  121    18.  37.   1   3.14003E-02  AR 37
  122    18.  38.   1   8.25518E-03  AR 38
  123    18.  39.   1   8.21659E-12  AR 39
  124    18.  40.   1   1.45863E-11  AR 40
  125    18.  41.   1   1.49978E-20  AR 41
  126    18.  42.   1   1.00000E-99  AR 42
  127    18.  43.   1   1.00000E-99  AR 43
  128    18.  44.   1   1.00000E-99  AR 44
  129    18.  45.   1   1.00000E-99  AR 45
  130    18.  46.   1   1.00000E-99  AR 46
  131    19.  35.   1   1.00000E-99  K  35
  132    19.  36.   1   1.00000E-99  K  36
  133    19.  37.   1   3.25221E-08  K  37
  134    19.  38.   1   4.20435E-03  K  38
  135    19.  39.   1   2.36413E-03  K  39
  136    19.  40.   1   1.46314E-11  K  40
  137    19.  41.   1   1.51592E-09  K  41
  138    19.  42.   1   1.89578E-17  K  42
  139    19.  43.   1   2.86908E-25  K  43
  140    19.  44.   1   1.00000E-99  K  44
  141    19.  45.   1   1.00000E-99  K  45
  142    19.  46.   1   1.00000E-99  K  46
  143    19.  47.   1   1.00000E-99  K  47
  144    19.  48.   1   1.00000E-99  K  48
  145    19.  49.   1   1.00000E-99  K  49
  146    20.  36.   1   1.00000E-99  CA 36
  147    20.  37.   1   1.00000E-99  CA 37
  148    20.  38.   1   1.00000E-99  CA 38
  149    20.  39.   1   3.62029E-10  CA 39
  150    20.  40.   1   3.53907E-04  CA 40
  151    20.  41.   1   6.42662E-08  CA 41
  152    20.  42.   1   1.34320E-08  CA 42
  153    20.  43.   1   5.08298E-09  CA 43
  154    20.  44.   1   1.50687E-09  CA 44
  155    20.  45.   1   7.01444E-18  CA 45
  156    20.  46.   1   1.00000E-99  CA 46
  157    20.  47.   1   1.00000E-99  CA 47
  158    20.  48.   1   1.00000E-99  CA 48
  159    20.  49.   1   1.00000E-99  CA 49
  160    20.  50.   1   1.00000E-99  CA 50
  161    13.  26.   2   9.31744E-08  AL*26
