************************************************************************
        TABLE OF ISOTOPES  0.780E-02  0.100E+01

        NO. SYMBOL T/F MASSNR PROTON
         163  =  NGIS           1  =  ISOMERS
           1   NEUT      T    1.     0.   1
           2   PROT      T    1.     1.   1
           3   H   2     T    2.     1.   1
           4   HE  3     T    3.     2.   1
           5   HE  4     T    4.     2.   1
           6   BE  7     T    7.     4.   1
           7   B   8     T    8.     5.   1
           8   LI  7     T    7.     3.   1
           9   C  11     T   11.     6.   1
          10   B  11     T   11.     5.   1
          11   C  12     T   12.     6.   1
          12   C  13     T   13.     6.   1
          13   N  13     T   13.     7.   1
          14   N  14     T   14.     7.   1
          15   C  14     T   14.     6.   1
          16   N  15     T   15.     7.   1
          17   O  16     T   16.     8.   1
          18   O  17     T   17.     8.   1
          19   O  18     T   18.     8.   1
          20   F  17     T   17.     9.   1
          21   F  18     T   18.     9.   1
          22   F  19     T   19.     9.   1
          23   NE 20     T   20.    10.   1
          24   NE 21     T   21.    10.   1
          25   NE 22     T   22.    10.   1
          26   NA 22     T   22.    11.   1
          27   NA 23     T   23.    11.   1
          28   MG 23     T   23.    12.   1
          29   MG 24     T   24.    12.   1
          30   MG 25     T   25.    12.   1
          31   MG 26     T   26.    12.   1
          32   AL 26     T   26.    13.   1
          33   AL 27     T   27.    13.   1
          34   SI 27     T   27.    14.   1
          35   SI 28     T   28.    14.   1
          36   SI 29     T   29.    14.   1
          37   SI 30     T   30.    14.   1
          38   P  31     T   31.    15.   1
          39   S  31     T   31.    16.   1
          40   L   1     F    1.     0.   1
          41   G   1     F    1.     0.   1
          42   G  34     T   34.    17.   1
          43   LI  6     F    6.     3.   1
          44   BE  9     F    9.     4.   1
          45   B  10     F   10.     5.   1
          46   BE  8     T    8.     4.   1
          47   O  14     T   14.     8.   1
          48   O  15     T   15.     8.   1
          49   NA 21     T   21.    11.   1
          50   AL 25     T   25.    13.   1
          51   P  29     T   29.    15.   1
          52   P  30     T   30.    15.   1
          53   PB206     T  206.    82.   1
          54   PB207     T  207.    82.   1
          55   BI211     T  211.    83.   1
          56   PO210     T  210.    84.   1
          57   OOOOO     F    0.     0.   1
          58   S  33     T   33.    16.   1
          59   S  34     T   34.    16.   1
          60   CL 34     T   34.    17.   1
          61   CL 35     T   35.    17.   1
          62   AR 35     T   35.    18.   1
          63   F  20     T   20.     9.   1
          64   NE 17     T   17.    10.   1
          65   NE 18     T   18.    10.   1
          66   NE 19     T   19.    10.   1
          67   NE 23     T   23.    10.   1
          68   NE 24     T   24.    10.   1
          69   NA 20     T   20.    11.   1
          70   NA 24     T   24.    11.   1
          71   MG 21     T   21.    12.   1
          72   MG 22     T   22.    12.   1
          73   MG 27     T   27.    12.   1
          74   MG 28     T   28.    12.   1
          75   AL 23     T   23.    13.   1
          76   AL 24     T   24.    13.   1
          77   AL 28     T   28.    13.   1
          78   AL 29     T   29.    13.   1
          79   AL 30     T   30.    13.   1
          80   AL 31     T   31.    13.   1
          81   AL 32     T   32.    13.   1
          82   SI 25     T   25.    14.   1
          83   SI 26     T   26.    14.   1
          84   SI 31     T   31.    14.   1
          85   SI 32     T   32.    14.   1
          86   SI 33     T   33.    14.   1
          87   P  26     T   26.    15.   1
          88   P  27     T   27.    15.   1
          89   P  28     T   28.    15.   1
          90   P  32     T   32.    15.   1
          91   P  33     T   33.    15.   1
          92   P  34     T   34.    15.   1
          93   P  35     T   35.    15.   1
          94   P  36     T   36.    15.   1
          95   P  37     T   37.    15.   1
          96   P  38     T   38.    15.   1
          97   S  28     T   28.    16.   1
          98   S  29     T   29.    16.   1
          99   S  30     T   30.    16.   1
         100   S  32     T   32.    16.   1
         101   S  35     T   35.    16.   1
         102   S  36     T   36.    16.   1
         103   S  37     T   37.    16.   1
         104   S  38     T   38.    16.   1
         105   S  39     T   39.    16.   1
         106   S  40     T   40.    16.   1
         107   CL 31     T   31.    17.   1
         108   CL 32     T   32.    17.   1
         109   CL 33     T   33.    17.   1
         110   CL 36     T   36.    17.   1
         111   CL 37     T   37.    17.   1
         112   CL 38     T   38.    17.   1
         113   CL 39     T   39.    17.   1
         114   CL 40     T   40.    17.   1
         115   CL 41     T   41.    17.   1
         116   CL 42     T   42.    17.   1
         117   CL 43     T   43.    17.   1
         118   CL 44     T   44.    17.   1
         119   AR 32     T   32.    18.   1
         120   AR 33     T   33.    18.   1
         121   AR 34     T   34.    18.   1
         122   AR 36     T   36.    18.   1
         123   AR 37     T   37.    18.   1
         124   AR 38     T   38.    18.   1
         125   AR 39     T   39.    18.   1
         126   AR 40     T   40.    18.   1
         127   AR 41     T   41.    18.   1
         128   AR 42     T   42.    18.   1
         129   AR 43     T   43.    18.   1
         130   AR 44     T   44.    18.   1
         131   AR 45     T   45.    18.   1
         132   AR 46     T   46.    18.   1
         133   K  35     T   35.    19.   1
         134   K  36     T   36.    19.   1
         135   K  37     T   37.    19.   1
         136   K  38     T   38.    19.   1
         137   K  39     T   39.    19.   1
         138   K  40     T   40.    19.   1
         139   K  41     T   41.    19.   1
         140   K  42     T   42.    19.   1
         141   K  43     T   43.    19.   1
         142   K  44     T   44.    19.   1
         143   K  45     T   45.    19.   1
         144   K  46     T   46.    19.   1
         145   K  47     T   47.    19.   1
         146   K  48     T   48.    19.   1
         147   K  49     T   49.    19.   1
         148   CA 36     T   36.    20.   1
         149   CA 37     T   37.    20.   1
         150   CA 38     T   38.    20.   1
         151   CA 39     T   39.    20.   1
         152   CA 40     T   40.    20.   1
         153   CA 41     T   41.    20.   1
         154   CA 42     T   42.    20.   1
         155   CA 43     T   43.    20.   1
         156   CA 44     T   44.    20.   1
         157   CA 45     T   45.    20.   1
         158   CA 46     T   46.    20.   1
         159   CA 47     T   47.    20.   1
         160   CA 48     T   48.    20.   1
         161   CA 49     T   49.    20.   1
         162   CA 50     T   50.    20.   1
         163   AL*26     T   26.    13.   2
************************************************************************

          REACTION NETWORK                                   V(i) Nasv(*rho)

        1946  =  NGIR          29  = + REAZ ISOMERS
      1 T  2  PROT   +  0  OOOOO  ->  1  H   2  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   2.146E+18
      2 T  1  H   2  +  1  PROT   ->  1  HE  3  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   5.301E+18
      3 T  2  HE  3  +  0  OOOOO  ->  1  HE  4  +  2  PROT    0.000E+00  VITAL  (v,v)  99   1.000E+00   1.241E+19
      4 T  1  HE  4  +  1  HE  3  ->  1  BE  7  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00   1.530E+18
      5 T  1  BE  7  +  0  OOOOO  ->  1  LI  7  +  0  OOOOO   0.000E+00  VITAL  (+,g)  14   1.000E+00   1.587E+18
      6 T  1  LI  7  +  1  PROT   ->  2  HE  4  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   1.674E+19
      7 T  1  BE  7  +  1  PROT   ->  1  B   8  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   1.331E+17
      8 T  1  B   8  +  0  OOOOO  ->  2  HE  4  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00   1.819E+19
      9 T  1  B   8  +  0  OOOOO  ->  1  BE  7  +  1  PROT    0.000E+00  VITAL  (g,p)   6   1.000E+00  -1.331E+17
     10 T  1  BE  7  +  1  HE  4  ->  1  C  11  +  0  OOOOO   0.000E+00  VITAL  (a,g)   9   1.000E+00   7.280E+18
     11 T  1  LI  7  +  1  HE  4  ->  1  B  11  +  0  OOOOO   0.000E+00  VITAL  (a,g)   9   1.000E+00   8.360E+18
     12 T  1  B  11  +  1  HE  4  ->  1  N  14  +  1  NEUT    0.000E+00  VITAL  (a,n)  11   1.000E+00   1.531E+17
     13 T  1  B  11  +  1  PROT   ->  3  HE  4  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   8.377E+18
     14 F  1  C  12  +  1  PROT   ->  1  N  13  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     15 F  1  C  13  +  1  PROT   ->  1  N  14  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     16 T  1  N  13  +  1  PROT   ->  1  O  14  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   4.464E+18
     17 T  1  N  14  +  1  PROT   ->  1  O  15  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   7.040E+18
     18 F  1  N  15  +  1  PROT   ->  1  C  12  +  1  HE  4   0.000E+00  VITAL  (p,a)   8   1.000E+00   0.000E+00
     19 F  1  N  15  +  1  PROT   ->  1  O  16  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     20 F  1  O  16  +  1  PROT   ->  1  F  17  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     21 F  1  O  17  +  1  PROT   ->  1  N  14  +  1  HE  4   0.000E+00  VITAL  (p,a)   8   1.000E+00   0.000E+00
     22 F  1  O  17  +  1  PROT   ->  1  F  18  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     23 F  1  O  18  +  1  PROT   ->  1  N  15  +  1  HE  4   0.000E+00  VITAL  (p,a)   8   1.000E+00   0.000E+00
     24 F  1  O  18  +  1  PROT   ->  1  F  19  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
