 initial abundance for selected isotopes
    1   0.00000E+00  NEUT 
    2   7.06443E-01  PROT 
    3   1.37053E-05  H   2
    4   4.53999E-05  HE  3
    5   2.73497E-01  HE  4
    6   0.00000E+00  BE  7
    7   0.00000E+00  B   8
    8   7.60509E-11  LI  7
    9   0.00000E+00  C  11
   10   2.85589E-09  B  11
   11   3.42473E-03  C  12
   12   4.15612E-05  C  13
   13   0.00000E+00  N  13
   14   1.05881E-03  N  14
   15   0.00000E+00  C  14
   16   4.17072E-06  N  15
   17   9.62435E-03  O  16
   18   3.81307E-06  O  17
   19   2.17106E-05  O  18
   20   0.00000E+00  F  17
   21   0.00000E+00  F  18
   22   5.61095E-07  F  19
   23   1.81773E-03  NE 20
   24   4.57528E-06  NE 21
   25   1.47024E-04  NE 22
   26   0.00000E+00  NA 22
   27   3.99955E-05  NA 23
   28   0.00000E+00  MG 23
   29   5.86242E-04  MG 24
   30   7.73309E-05  MG 25
   31   8.84802E-05  MG 26
   32   0.00000E+00  AL 26
   33   6.48107E-05  AL 27
   34   0.00000E+00  SI 27
   35   7.45267E-04  SI 28
   36   3.91940E-05  SI 29
   37   2.67278E-05  SI 30
   38   7.10632E-06  P  31
   39   0.00000E+00  S  31
   46   0.00000E+00  BE  8
   47   0.00000E+00  O  14
   48   0.00000E+00  O  15
   49   0.00000E+00  NA 21
   50   0.00000E+00  AL 25
   51   0.00000E+00  P  29
   52   0.00000E+00  P  30
   53   2.79773E-09  PB206
   54   3.08965E-09  PB207
   55   0.00000E+00  BI211
   56   0.00000E+00  PO210
   58   0.00000E+00  H   3
   59   0.00000E+00  HE  6
   60   0.00000E+00  LI  8
   61   0.00000E+00  LI  9
   62   0.00000E+00  BE 10
   63   0.00000E+00  BE 11
   64   0.00000E+00  BE 12
   65   0.00000E+00  B  12
   66   0.00000E+00  B  13
   67   0.00000E+00  B  14
   68   0.00000E+00  C  15
   69   0.00000E+00  C  16
   70   0.00000E+00  C  17
   71   0.00000E+00  C  18
   72   0.00000E+00  N  11
   73   0.00000E+00  N  12
   74   0.00000E+00  N  16
   75   0.00000E+00  N  17
   76   0.00000E+00  N  18
   77   0.00000E+00  N  19
   78   0.00000E+00  N  20
   79   0.00000E+00  N  21
   80   0.00000E+00  O  13
   81   0.00000E+00  O  19
   82   0.00000E+00  O  20
   83   0.00000E+00  O  21
   84   0.00000E+00  O  22
   85   0.00000E+00  F  20
   86   0.00000E+00  F  21
   87   0.00000E+00  F  22
   88   0.00000E+00  F  23
   89   0.00000E+00  F  24
   90   0.00000E+00  F  25
   91   0.00000E+00  F  26
   92   0.00000E+00  NE 17
   93   0.00000E+00  NE 18
   94   0.00000E+00  NE 19
   95   0.00000E+00  NE 23
   96   0.00000E+00  NE 24
   97   0.00000E+00  NE 25
   98   0.00000E+00  NE 26
   99   0.00000E+00  NE 27
  100   0.00000E+00  NE 28
  101   0.00000E+00  NE 29
  102   0.00000E+00  NE 30
  103   0.00000E+00  NE 31
  104   0.00000E+00  NE 32
  105   0.00000E+00  NE 33
  106   0.00000E+00  NE 34
  107   0.00000E+00  NE 35
  108   0.00000E+00  NE 36
  109   0.00000E+00  NE 37
  110   0.00000E+00  NE 38
  111   0.00000E+00  NE 39
  112   0.00000E+00  NE 40
  113   0.00000E+00  NE 41
  114   0.00000E+00  NA 19
  115   0.00000E+00  NA 20
  116   0.00000E+00  NA 24
  117   0.00000E+00  NA 25
  118   0.00000E+00  NA 26
  119   0.00000E+00  NA 27
  120   0.00000E+00  NA 28
  121   0.00000E+00  NA 29
  122   0.00000E+00  NA 30
  123   0.00000E+00  NA 31
  124   0.00000E+00  NA 32
