                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7623      1.3999999999999999E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62 
                            model_number                                 star_age                                star_mass                                   log_dt                                num_zones                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                            envelope_mass                   envelope_fraction_left                                   log_LH                                  log_LHe                                    log_L                                 log_Lneu                                 log_Teff                                    log_R                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                        center_degeneracy                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                       log_total_mass_he4                                max_eps_h                            max_eps_h_lgT                          max_eps_h_lgRho                              max_eps_h_m                            max_eps_h_lgR                               max_eps_he                           max_eps_he_lgT                         max_eps_he_lgRho                             max_eps_he_m                           max_eps_he_lgR                        v_div_csound_surf                              num_retries                              num_backups                              h1_czb_mass                              star_age_hr 
                                       1                  1.9094073537115110E-007                  1.4000000000002657E+000                 -6.7191014091670613E+000                                     1237                  4.1750525076042777E-001                  7.0536791645370300E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1750525076042777E-001                  7.0536791645370300E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005283E+033                  2.7848800000005283E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.4000000000002657E+000                  1.0000000000001898E+000                  3.0239668108656670E-001                 -1.8369068074543367E+001                 -6.8912175401074933E-003                 -1.3230349477647703E+000                  6.1810187057040080E+000                 -4.8422241837254436E+000                  1.4384244158826668E+001                  8.0643733142390825E+000                  6.6799299240922645E+000                  2.3388062470531828E+001                  3.3356618853168541E+001                  4.6428571428571430E-001                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.2500000000000452E-099                  3.3657432709850313E-003                  9.3572132927188592E-003                 -1.3145774587764146E+001                  4.0661984194778945E+013                  7.8277146996912803E+000                  5.4723496630794441E+000                  1.3999999999999999E+000                  6.0001759474898080E+000                  1.6502580179887120E-005                  7.8277146996912803E+000                  5.4723496630794441E+000                  1.3999999999999999E+000                  6.0001759474898080E+000                  0.0000000000000000E+000                                        0                                        0                  0.0000000000000000E+000                  1.6738156569161223E-003 
                                      10                  3.1597157271982231E-006                  1.4000000000002746E+000                 -6.3482403761758199E+000                                     1046                  2.6102682825637846E-001                  7.0438223158664215E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6102682825637846E-001                  7.0438223158664215E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005462E+033                  2.7848800000005462E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.4000000000002746E+000                  1.0000000000001963E+000                  8.9119219961988327E-001                 -1.3374516200180071E+001                  3.1520167830140494E-001                 -2.9975355520182750E-001                  6.2615352563161704E+000                 -4.8422108370290120E+000                  1.4384212765235951E+001                  8.1011265459777793E+000                  6.6799351098643731E+000                  2.3388672012441049E+001                  3.0641302060880726E+001                  4.6428571428571419E-001                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.2500000000000452E-099                  3.3187338376415316E-003                  9.3574576112211566E-003                 -1.3131395297836518E+001                  8.5827532747150703E+013                  7.9428215402759239E+000                  5.4687278086066193E+000                  1.3999999999999999E+000                  6.0001754569397896E+000                  1.3434680469754525E+000                  7.9428215402759239E+000                  5.4687278086066193E+000                  1.3999999999999999E+000                  6.0001754569397896E+000                  0.0000000000000000E+000                                        0                                        0                  0.0000000000000000E+000                  2.7698550784923653E-002 
                                      20                  6.0743078052152953E-006                  1.4000000000002832E+000                 -6.3941956157309239E+000                                     1046                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005635E+033                  2.7848800000005635E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.4000000000002832E+000                  1.0000000000002023E+000                  1.0117637388548562E+000                 -9.3231365543993761E+000                  7.8447727621219399E-001                  1.1448228873355387E-001                  6.3788441929087183E+000                 -4.8421909112587125E+000                  1.4384165897056498E+001                  8.1298930121399327E+000                  6.6799694750384422E+000                  2.3389239928355934E+001                  2.8667414278405033E+001                  4.6428571428571430E-001                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.2500000000000452E-099                  3.2888054734873822E-003                  9.3528774274814052E-003                 -1.3116286016335970E+001                  8.6266259010815156E+013                  8.0391470734652160E+000                  5.3355771996384069E+000                  1.4000000000000947E+000                  6.0002008926672890E+000                  1.2320425747382038E+004                  8.0417109290323978E+000                  5.4633312824566698E+000                  1.3999999999999999E+000                  6.0001750994718135E+000                  0.0000000000000000E+000                                        0                                        0                  0.0000000000000000E+000                  5.3248310212768372E-002 
                                      30                  1.2206363829327900E-005                  1.4000000000003019E+000                 -6.0903426094715316E+000                                     1021                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000006004E+033                  2.7848800000006004E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.4000000000003019E+000                  1.0000000000002156E+000                  1.0786849769650806E+000                 -5.6134879831194278E+000                  1.2509432311708548E+000                  5.0214424756751896E-001                  6.4954466318837234E+000                 -4.8421628117293922E+000                  1.4384099803992838E+001                  8.1851017092354414E+000                  6.6800525336573449E+000                  2.3390488815799774E+001                  2.5230479508284244E+001                  4.6428571428571430E-001                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.2500000000000456E-099                  3.2886886847926467E-003                  9.1054522065944360E-003                 -1.3083404298015406E+001                  9.9966508629982656E+013                  8.0698248599939166E+000                  4.9218316218469447E+000                  1.4000000000002486E+000                  6.0002736664705889E+000                  6.3305201897966482E+007                  8.1624340190335101E+000                  5.4594894511244947E+000                  1.3999999999999999E+000                  6.0001743852940432E+000                  0.0000000000000000E+000                                        0                                        0                  0.0000000000000000E+000                  1.0700285013477846E-001 
                                      40                  2.7336437533973303E-005                  1.4000000000003472E+000                 -5.5577881180344635E+000                                      998                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000006903E+033                  2.7848800000006903E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.4000000000003472E+000                  1.0000000000002480E+000                  1.1362726864902444E+000                 -5.0180953338470378E+000                  1.2834246776560103E+000                  3.5066261688775480E-001                  6.5035626508755371E+000                 -4.8421541264704429E+000                  1.4384079375566300E+001                  8.2748908814589601E+000                  6.6806517594063370E+000                  2.3393533568563594E+001                  2.0502099493728746E+001                  4.6428571428571419E-001                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.2500000000000456E-099                  3.2133453049914490E-003                  8.8401461257044504E-003                 -1.3012262671690165E+001                  1.1436842043171403E+014                  8.1191104529300926E+000                  5.0948129810677720E+000                  1.4000000000002537E+000                  6.0002541755651837E+000                  2.5758380442239261E+008                  8.1809641889740732E+000                  5.5013903007351974E+000                  1.3999999999999999E+000                  6.0001712666382989E+000                  0.0000000000000000E+000                                        0                                        0                  0.0000000000000000E+000                  2.3963538770149351E-001 
                                      50                  1.0499962194879822E-004                  1.4000000000005801E+000                 -5.0670056532221963E+000                                     1036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999835E+033                  2.7848799999999835E+033                  2.7848800000011538E+033                  2.7848800000011538E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000000000000083E+000                  1.4000000000005801E+000                  1.0000000000004143E+000                  1.3670420533220418E+000                 -2.4116076269156506E+000                  1.4708607143480570E+000                  5.3228695515109492E-001                  6.5504016509221863E+000                 -4.8421141082177179E+000                  1.4383985250768388E+001                  8.3326902248558952E+000                  6.6899344539372647E+000                  2.3408992291966779E+001                  1.8132989608173858E+001                  4.6428571428571419E-001                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.2500000000000454E-099                  3.2488327392356229E-003                  8.9397729296210229E-003                 -1.2752085425072714E+001                  1.1616148302032058E+014                  8.2447277951992533E+000                  5.4724580582093711E+000                  1.4000000000002573E+000                  6.0002045116426173E+000                  5.4145421416541527E+010                  8.2644138254047572E+000                  5.6667927954191519E+000                  1.4000000000000115E+000                  6.0001581577130416E+000                  0.0000000000000000E+000                                        1                                        0                  0.0000000000000000E+000                  9.2044272714540909E-001 
                                      60                  1.9184042231406071E-004                  1.4000000000008406E+000                 -5.0513106646956780E+000                                     1181                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999755E+033                  2.7848799999999755E+033                  2.7848800000016720E+033                  2.7848800000016720E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000000000000121E+000                  1.4000000000008406E+000                  1.0000000000006004E+000                  1.5709656953398250E+000                 -5.1852758320018000E-001                  1.6445245238599873E+000                  7.3284538239868013E-001                  6.5937988038291531E+000                 -4.8420765092756870E+000                  1.4383896818317570E+001                  8.3726054429506558E+000                  6.7002270381845044E+000                  2.3425598166779910E+001                  1.6736094165545996E+001                  4.6428571428571419E-001                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.2500000000000456E-099                  3.2291807673969285E-003                  8.8857236930527835E-003                 -1.2554812902361141E+001                  1.3116920648215798E+014                  8.3270692433390270E+000                  5.6629262912735268E+000                  1.4000000000002495E+000                  6.0001777346684673E+000                  2.7656906742706948E+012                  8.3358184031259608E+000                  5.7607637318621023E+000                  1.4000000000000150E+000                  6.0001462288485250E+000                  0.0000000000000000E+000                                        2                                        0                  0.0000000000000000E+000                  1.6817024501058413E+000 
                                      69                  2.2857371063303699E-004                  1.4000000000009509E+000                 -6.3189169048727098E+000                                     1260                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999755E+033                  2.7848799999999755E+033                  2.7848800000018916E+033                  2.7848800000018916E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000000000000121E+000                  1.4000000000009509E+000                  1.0000000000006792E+000                  1.9730403881559506E+000                  1.2483809279515257E+000                  1.9721452129309121E+000                  1.2257186757259082E+000                  6.6756802489518554E+000                 -4.8420290549856286E+000                  1.4383785208943227E+001                  8.4395705848215332E+000                  6.7029437128221145E+000                  2.3432423698335153E+001                  1.4361474494683314E+001                  4.6428571428571430E-001                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.2500000000000456E-099                  3.2180267027941897E-003                  8.9369532695722474E-003                 -1.2496785724078549E+001                  5.2913259372778362E+014                  8.4555937119279747E+000                  5.7813844764588929E+000                  1.4000000000000163E+000                  6.0001434556565822E+000                  1.3848126299438056E+014                  8.4555937119279747E+000                  5.7813844764588929E+000                  1.4000000000000163E+000                  6.0001434556565822E+000                  0.0000000000000000E+000                                        7                                        0                  0.0000000000000000E+000                  2.0037120673768878E+000 
                                      70                  2.2905353587958385E-004                  1.4000000000009525E+000                 -6.3189169048727098E+000                                     1253                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999755E+033                  2.7848799999999755E+033                  2.7848800000018945E+033                  2.7848800000018945E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000000000000121E+000                  1.4000000000009525E+000                  1.0000000000006803E+000                  2.0265566752679516E+000                  1.4144969596813763E+000                  2.0114680380719272E+000                  1.3377124344606250E+000                  6.6855080207356172E+000                 -4.8420231859826437E+000                  1.4383771405649606E+001                  8.4444971473684376E+000                  6.7028415537724992E+000                  2.3432511031095405E+001                  1.4194818573363644E+001                  4.6428571428571419E-001                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.2500000000000456E-099                  3.2276022674279587E-003                  8.9376559666858920E-003                 -1.2497541597469930E+001                  6.2136485679444275E+014                  8.4716592596861098E+000                  5.7777203150914627E+000                  1.4000000000000163E+000                  6.0001436304933753E+000                  2.0040186650055975E+014                  8.4716592596861098E+000                  5.7777203150914627E+000                  1.4000000000000163E+000                  6.0001436304933753E+000                  0.0000000000000000E+000                                        7                                        0                  0.0000000000000000E+000                  2.0079182887926201E+000 
